start Date,end Date,duration (in seconds),age,edu,uk,kernow,confidence1,virusInfect,virusMutate,virusNewHost,timing1,timing2,timing3,gameDuration,difficult,interesting,confidence2,virusMutate2,virusInfect2,virusNewHost2,analogy
15/12/2020,15/12/2020,475,16-25,Vocational / Apprenticeship,Yes,Yes,6,The virus must be transported by bacteria into the host,Virus mutations are always bad for the host,Viruses constantly change their protein shapes to try to fit new host species,4.905,147.126,147.947,5 - 10 minutes,2,6,2,Virus mutations are always bad for the host,A protein on the virus surface must match the shape of the host's cell,"If a new host species comes into contact with the virus, the virus will always be able to infect it",The 'lock and key' mechanism
15/12/2020,15/12/2020,324,16-25,A level,Yes,Yes,5,The virus must be transported by bacteria into the host,Virus mutations happen mostly randomly,Viruses constantly change their protein shapes to try to fit new host species,4.919,105.32,107.02,Under 5 minutes,6,5,3,I don't know,The virus must be transported by bacteria into the host,Viruses constantly change their protein shapes to try to fit new host species,The 'lock and key' mechanism
15/12/2020,15/12/2020,849,26-34,GSCE,Yes,Yes,3,The virus must be transported by bacteria into the host,Virus mutations happen mostly randomly,"If a new host species comes into contact with the virus, the virus will always be able to infect it",93.331,93.331,95.905,5 - 10 minutes,5,3,2,Virus mutations happen mostly randomly,The virus must be transported by bacteria into the host,"When viruses reproduce, some randomly have different proteins, which might match a new host species' cells",I don't know
15/12/2020,15/12/2020,750,16-25,GSCE,Yes,Yes,6,A protein on the virus surface must match the shape of the host's cell,Virus mutations happen mostly randomly,Viruses constantly change their protein shapes to try to fit new host species,5.291,386.208,388.686,Over 10 minutes,2,6,5,Virus mutations happen mostly randomly,A protein on the virus surface must match the shape of the host's cell,Viruses constantly change their protein shapes to try to fit new host species,The 'lock and key' mechanism
15/12/2020,15/12/2020,944,26-34,Undergraduate Degree,Yes,Yes,3,I don't know,I don't know,I don't know,7.82,186.331,189.139,Under 5 minutes,3,4,4,Virus mutations happen mostly randomly,A protein on the virus surface must match the shape of the host's cell,"When viruses reproduce, some randomly have different proteins, which might match a new host species' cells",The 'lock and key' mechanism
15/12/2020,15/12/2020,929,16-25,Undergraduate Degree,Yes,Yes,2,The virus must be transported by bacteria into the host,Virus mutations are always bad for the host,Viruses constantly change their protein shapes to try to fit new host species,8.369,702.962,704.369,5 - 10 minutes,7,5,5,Virus mutations are always bad for the host,A protein on the virus surface must match the shape of the host's cell,"If a new host species comes into contact with the virus, the virus will always be able to infect it",I don't know
17/12/2020,17/12/2020,625,26-34,Postgraduate Degree,Yes,Yes,5,A protein on the virus surface must match the shape of the host's cell,Virus mutations happen mostly randomly,"When viruses reproduce, some randomly have different proteins, which might match a new host species' cells",4.875,127.595,128.756,Under 5 minutes,1,2,5,Virus mutations happen mostly randomly,A protein on the virus surface must match the shape of the host's cell,"When viruses reproduce, some randomly have different proteins, which might match a new host species' cells",The 'lock and key' mechanism
11/01/2021,11/01/2021,1424,26-34,Undergraduate Degree,No,No,2,A protein on the virus surface must match the shape of the host's cell,Virus mutations happen mostly randomly,"When viruses reproduce, some randomly have different proteins, which might match a new host species' cells",4.04,894.904,895.806,Over 10 minutes,5,5,5,Virus mutations happen mostly randomly,A protein on the virus surface must match the shape of the host's cell,"When viruses reproduce, some randomly have different proteins, which might match a new host species' cells",The 'lock and key' mechanism
11/01/2021,11/01/2021,163,45-65,Postgraduate Degree,Yes,No,6,A protein on the virus surface must match the shape of the host's cell,Virus mutations happen mostly randomly,"When viruses reproduce, some randomly have different proteins, which might match a new host species' cells",,,,,,,,,,,
11/01/2021,11/01/2021,121,26-34,Postgraduate Degree,No,No,7,A protein on the virus surface must match the shape of the host's cell,Virus mutations happen mostly randomly,"When viruses reproduce, some randomly have different proteins, which might match a new host species' cells",,,,,,,,,,,
11/01/2021,11/01/2021,128,35-44,Postgraduate Degree,Yes,No,1,A protein on the virus surface must match the shape of the host's cell,Virus mutations happen mostly randomly,"When viruses reproduce, some randomly have different proteins, which might match a new host species' cells",,,,,,,,,,,
12/01/2021,12/01/2021,697,45-65,Postgraduate Degree,Yes,No,5,A protein on the virus surface must match the shape of the host's cell,Virus mutations happen mostly randomly,"When viruses reproduce, some randomly have different proteins, which might match a new host species' cells",5.648,502.128,503.25,5 - 10 minutes,6,2,5,Virus mutations happen mostly randomly,A protein on the virus surface must match the shape of the host's cell,"When viruses reproduce, some randomly have different proteins, which might match a new host species' cells",The 'lock and key' mechanism
